"Action","Animation","ScienceFiction","Horror","Fantasy","Family","Adventure","Comedy","Crime","Romance","Drama","Thriller","War","Western","Mystery","Music","Documentary","History","TVMovie","title","year","rating","budget","revenue","runtime"
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Godzilla: King of the Monsters",2019,67,1.7e+08,386600138,132
0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,"Kingdom: Ashin of the North",2021,75,0,0,92
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn)",2020,70,7.5e+07,201858461,109
0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,"House of Gucci",2021,67,7.5e+07,151758425,158
1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,"SAS: Red Notice",2021,59,0,0,120
1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Road to Ninja: Naruto the Movie",2012,76,0,17322136,109
1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Captain Marvel",2019,69,1.52e+08,1128276090,124
0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"How to Train Your Dragon: The Hidden World",2019,78,1.29e+08,517526875,104
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Dragon Ball Z: Cooler's Revenge",1991,69,0,16331742,48
1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,"Terminator Genisys",2015,59,1.55e+08,440603537,126
0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"The Angry Birds Movie 2",2019,72,6.5e+07,147792047,97
0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,"Love & Other Drugs",2010,70,3e+07,102820008,112
0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"Once Upon a Snowman",2020,69,0,0,7
0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Fear Street: 1994",2021,68,0,0,107
0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"Despicable Me 2",2013,69,7.6e+07,970761885,98
1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,"Maze Runner: The Scorch Trials",2015,67,6.1e+07,312296056,131
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"The Prot̩g̩",2021,66,0,8639684,109
0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,"Vicky and Her Mystery",2021,72,6500000,4181043,84
