"","x"
"102","Assassin's Creed       (2016)+54.0+Action, Adventure, Science Fiction+StatusReleasedOriginalLanguageEnglishBudget$125,000,000.00Revenue$240,697,856.00+1h 55m"
"103","The Spiderwick Chronicles       (2008)+66.0+Family, Adventure, Fantasy, Drama+StatusReleasedOriginalLanguageEnglishBudget$90,000,000.00Revenue$164,170,327.00+1h 35m"
"104","Hostel: Part III       (2011)+51.0+Horror+StatusReleasedOriginalLanguageEnglishBudget$6,000,000.00Revenue-+1h 28m"
"105","Godzilla       (1998)+56.0+Science Fiction, Action, Thriller+StatusReleasedOriginalLanguageEnglishBudget$130,000,000.00Revenue$379,014,294.00+2h 19m"
"106","The Thing       (1982)+80.0+Horror, Mystery, Science Fiction+StatusReleasedOriginalLanguageEnglishBudget$15,000,000.00Revenue$19,629,760.00+1h 49m"
"107","Abominable       (2019)+76.0+Family, Animation, Adventure, Comedy+StatusReleasedOriginalLanguageEnglishBudget$75,000,000.00Revenue$180,289,970.00+1h 37m"
"108","Grease       (1978)+74.0+Romance, Comedy+StatusReleasedOriginalLanguageEnglishBudget$6,000,000.00Revenue$181,813,770.00+1h 50m"
"109","47 Meters Down       (2017)+58.0+Horror, Drama, Thriller, Adventure+StatusReleasedOriginalLanguageEnglishBudget$5,500,000.00Revenue$44,235,023.00+1h 29m"
"110","Wonder       (2017)+82.0+Drama, Family+StatusReleasedOriginalLanguageEnglishBudget$20,000,000.00Revenue$305,937,718.00+1h 53m"
"111","Psycho       (1960)+84.0+Horror, Drama, Thriller+StatusReleasedOriginalLanguageEnglishBudget$806,947.00Revenue$50,000,000.00+1h 49m"
"112","Alien Resurrection       (1997)+61.0+Science Fiction, Horror, Action+StatusReleasedOriginalLanguageEnglishBudget$70,000,000.00Revenue$162,000,000.00+1h 49m"
"113","Resident Evil: Vendetta       (2017)+69.0+Animation, Horror, Adventure, Mystery, Action, Science Fiction+OriginalTitleバイオハザードヴェンデッタStatusReleasedOriginalLanguageJapaneseBudget-Revenue-+1h 37m"
"114","Steven Universe: The Movie       (2019)+83.0+Animation, Family, Fantasy, Music, TV Movie, Science Fiction+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+1h 22m"
"115","Live Free or Die Hard       (2007)+66.0+Action, Thriller+StatusReleasedOriginalLanguageEnglishBudget$110,000,000.00Revenue$383,531,464.00+2h 8m"
"116","Spider-Man 2       (2004)+72.0+Action, Adventure, Fantasy+StatusReleasedOriginalLanguageEnglishBudget$200,000,000.00Revenue$783,766,341.00+2h 7m"
"117","Blade Runner       (1982)+79.0+Science Fiction, Drama, Thriller+StatusReleasedOriginalLanguageEnglishBudget$28,000,000.00Revenue$41,722,424.00+1h 58m"
"118","Friday the 13th Part VIII: Jason Takes Manhattan       (1989)+50.0+Horror, Thriller+StatusReleasedOriginalLanguageEnglishBudget$5,000,000.00Revenue$14,000,000.00+1h 40m"
"119","Ghosts of War       (2020)+60.0+Horror, Thriller, War, Fantasy+StatusReleasedOriginalLanguageEnglishBudget-Revenue$178,592.00+1h 34m"
"120","Freaky       (2020)+66.0+Comedy, Fantasy, Horror, Thriller+StatusReleasedOriginalLanguageEnglishBudget$5,000,000.00Revenue$15,104,310.00+1h 42m"
"121","Reminiscence       (2021)+68.0+Science Fiction, Mystery+StatusReleasedOriginalLanguageEnglishBudget$68,000,000.00Revenue$18,717,947.00+1h 56m"
"122","Over the Hedge       (2006)+65.0+Family, Comedy, Animation+StatusReleasedOriginalLanguageEnglishBudget$80,000,000.00Revenue$343,397,247.00+1h 23m"
"123","Murder on the Orient Express       (2017)+67.0+Mystery, Crime, Drama+StatusReleasedOriginalLanguageEnglishBudget$55,000,000.00Revenue$352,794,081.00+1h 54m"
"124","Lawless       (2012)+70.0+Crime, Drama, Western+StatusReleasedOriginalLanguageEnglishBudget$26,000,000.00Revenue$53,676,580.00+1h 55m"
"125","Ghostland       (2018)+73.0+Horror, Mystery, Thriller+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+1h 31m"
"126","Dead Poets Society       (1989)+83.0+Drama+StatusReleasedOriginalLanguageEnglishBudget$16,400,000.00Revenue$235,860,116.00+2h 8m"
"127","Arthur and the Invisibles       (2006)+64.0+Adventure, Fantasy, Animation, Family+OriginalTitleArthuretlesMinimoysStatusReleasedOriginalLanguageEnglishBudget$86,000,000.00Revenue$107,944,236.00+1h 34m"
"128","The Ring Two       (2005)+57.0+Drama, Horror, Thriller+StatusReleasedOriginalLanguageEnglishBudget$50,000,000.00Revenue$161,451,538.00+1h 50m"
"129","Free Willy       (1993)+62.0+Family, Adventure, Drama+StatusReleasedOriginalLanguageEnglishBudget$20,000,000.00Revenue$153,698,625.00+1h 52m"
"130","The Little Mermaid       (2018)+50.0+Family, Adventure, Fantasy, Romance, Drama+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+1h 38m"
"131","Jojo Rabbit       (2019)+81.0+Comedy, War, Drama+StatusReleasedOriginalLanguageEnglishBudget$14,000,000.00Revenue$82,468,705.00+1h 48m"
"132","Evil Dead       (2013)+65.0+Horror+StatusReleasedOriginalLanguageEnglishBudget$17,000,000.00Revenue$97,542,952.00+1h 31m"
"133","The Empire Strikes Back       (1980)+84.0+Adventure, Action, Science Fiction+StatusReleasedOriginalLanguageEnglishBudget$18,000,000.00Revenue$538,400,000.00+2h 4m"
"134","Ghost in the Shell       (1995)+79.0+Action, Animation, Science Fiction+OriginalTitleGHOSTINTHESHELLStatusReleasedOriginalLanguageJapaneseBudget$3,000,000.00Revenue$515,905.00+1h 23m"
"135","The Drop       (2014)+68.0+Drama, Crime+StatusReleasedOriginalLanguageEnglishBudget$12,600,000.00Revenue$19,054,534.00+1h 46m"
"136","I Care a Lot       (2021)+66.0+Comedy, Crime, Thriller, Drama+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+1h 59m"
"137","Planet of the Apes       (1968)+76.0+Science Fiction, Adventure, Drama, Action+StatusReleasedOriginalLanguageEnglishBudget$5,800,000.00Revenue$32,589,624.00+1h 52m"
"138","Basic Instinct       (1992)+69.0+Thriller, Mystery+StatusReleasedOriginalLanguageEnglishBudget$49,000,000.00Revenue$352,927,224.00+2h 7m"
"139","Watchmen       (2009)+73.0+Action, Mystery, Science Fiction+StatusReleasedOriginalLanguageEnglishBudget$130,000,000.00Revenue$185,258,983.00+2h 43m"
"140","The Other Woman       (2014)+64.0+Comedy, Romance+StatusReleasedOriginalLanguageEnglishBudget$40,000,000.00Revenue$196,781,193.00+1h 49m"
"141","Castle in the Sky       (1986)+80.0+Adventure, Fantasy, Animation, Action, Family, Romance+OriginalTitle天空の城ラピュタStatusReleasedOriginalLanguageJapaneseBudget-Revenue$5,228,752.00+2h 5m"
"142","Bloodsport       (1988)+70.0+Action, Drama+StatusReleasedOriginalLanguageEnglishBudget$1,500,000.00Revenue$65,000,000.00+1h 32m"
"143","Breakthrough       (2019)+77.0+Drama+StatusReleasedOriginalLanguageEnglishBudget-Revenue-+1h 56m"
"144","Friday the 13th Part VII: The New Blood       (1988)+55.0+Horror, Thriller+StatusReleasedOriginalLanguageEnglishBudget$2,800,000.00Revenue$19,170,001.00+1h 28m"
"145","Goosebumps 2: Haunted Halloween       (2018)+61.0+Adventure, Comedy, Fantasy, Family, Horror+StatusReleasedOriginalLanguageEnglishBudget$35,000,000.00Revenue$93,320,380.00+1h 30m"
